URL,favorite,comment,like
https://www.gocomics.com/calvinandhobbes/1986/09/09,18,8,4
https://www.gocomics.com/calvinandhobbes/1986/09/10,35,9,4
https://www.gocomics.com/calvinandhobbes/1986/09/11,64,15,7
https://www.gocomics.com/calvinandhobbes/1986/09/12,25,6,4
https://www.gocomics.com/calvinandhobbes/1986/09/13,28,6,5
https://www.gocomics.com/calvinandhobbes/1986/09/14,14,9,5
https://www.gocomics.com/calvinandhobbes/1986/09/15,43,5,14
https://www.gocomics.com/calvinandhobbes/1986/09/16,34,5,6
https://www.gocomics.com/calvinandhobbes/1986/09/17,29,7,4
https://www.gocomics.com/calvinandhobbes/1986/09/18,43,8,8
https://www.gocomics.com/calvinandhobbes/1986/09/19,34,7,6
https://www.gocomics.com/calvinandhobbes/1986/09/20,54,6,7
https://www.gocomics.com/calvinandhobbes/1986/09/21,43,14,6
https://www.gocomics.com/calvinandhobbes/1986/09/22,11,5,1
https://www.gocomics.com/calvinandhobbes/1986/09/23,26,6,3
https://www.gocomics.com/calvinandhobbes/1986/09/24,21,5,5
https://www.gocomics.com/calvinandhobbes/1986/09/25,15,5,1
https://www.gocomics.com/calvinandhobbes/1986/09/26,36,12,5
https://www.gocomics.com/calvinandhobbes/1986/09/27,81,12,13
https://www.gocomics.com/calvinandhobbes/1986/09/28,33,11,7
https://www.gocomics.com/calvinandhobbes/1986/09/29,75,14,9
https://www.gocomics.com/calvinandhobbes/1986/09/30,59,16,8
https://www.gocomics.com/calvinandhobbes/1986/10/01,36,14,11
https://www.gocomics.com/calvinandhobbes/1986/10/02,17,15,6
https://www.gocomics.com/calvinandhobbes/1986/10/03,20,6,3
https://www.gocomics.com/calvinandhobbes/1986/10/04,32,10,4
https://www.gocomics.com/calvinandhobbes/1986/10/05,48,15,6
https://www.gocomics.com/calvinandhobbes/1986/10/06,34,9,6
https://www.gocomics.com/calvinandhobbes/1986/10/07,48,11,6
https://www.gocomics.com/calvinandhobbes/1986/10/08,45,5,9
https://www.gocomics.com/calvinandhobbes/1986/10/09,55,7,6
https://www.gocomics.com/calvinandhobbes/1986/10/10,37,8,9
https://www.gocomics.com/calvinandhobbes/1986/10/11,50,8,8
https://www.gocomics.com/calvinandhobbes/1986/10/12,54,9,7
https://www.gocomics.com/calvinandhobbes/1986/10/13,16,29,4
https://www.gocomics.com/calvinandhobbes/1986/10/14,18,7,2
https://www.gocomics.com/calvinandhobbes/1986/10/15,62,9,8
https://www.gocomics.com/calvinandhobbes/1986/10/16,59,9,9
https://www.gocomics.com/calvinandhobbes/1986/10/17,65,6,6
https://www.gocomics.com/calvinandhobbes/1986/10/18,26,5,4
https://www.gocomics.com/calvinandhobbes/1986/10/19,17,7,3
https://www.gocomics.com/calvinandhobbes/1986/10/20,19,10,7
https://www.gocomics.com/calvinandhobbes/1986/10/21,28,4,3
https://www.gocomics.com/calvinandhobbes/1986/10/22,16,5,2
https://www.gocomics.com/calvinandhobbes/1986/10/23,21,4,2
https://www.gocomics.com/calvinandhobbes/1986/10/24,22,5,2
https://www.gocomics.com/calvinandhobbes/1986/10/25,19,7,2
https://www.gocomics.com/calvinandhobbes/1986/10/26,39,15,6
https://www.gocomics.com/calvinandhobbes/1986/10/27,38,8,4
https://www.gocomics.com/calvinandhobbes/1986/10/28,27,5,3
https://www.gocomics.com/calvinandhobbes/1986/10/29,16,11,4
https://www.gocomics.com/calvinandhobbes/1986/10/30,29,12,4
https://www.gocomics.com/calvinandhobbes/1986/10/31,26,11,2
https://www.gocomics.com/calvinandhobbes/1986/11/01,25,9,5
https://www.gocomics.com/calvinandhobbes/1986/11/02,61,9,8
https://www.gocomics.com/calvinandhobbes/1986/11/03,44,7,10
https://www.gocomics.com/calvinandhobbes/1986/11/04,34,6,5
https://www.gocomics.com/calvinandhobbes/1986/11/05,20,9,3
https://www.gocomics.com/calvinandhobbes/1986/11/06,82,9,15
https://www.gocomics.com/calvinandhobbes/1986/11/07,52,5,5
https://www.gocomics.com/calvinandhobbes/1986/11/08,45,8,11
https://www.gocomics.com/calvinandhobbes/1986/11/09,40,8,8
https://www.gocomics.com/calvinandhobbes/1986/11/10,42,7,6
https://www.gocomics.com/calvinandhobbes/1986/11/11,11,10,2
https://www.gocomics.com/calvinandhobbes/1986/11/12,8,5,1
https://www.gocomics.com/calvinandhobbes/1986/11/13,11,8,1
https://www.gocomics.com/calvinandhobbes/1986/11/14,30,8,4
https://www.gocomics.com/calvinandhobbes/1986/11/15,25,8,4
https://www.gocomics.com/calvinandhobbes/1986/11/16,37,13,8
https://www.gocomics.com/calvinandhobbes/1986/11/17,88,11,10
https://www.gocomics.com/calvinandhobbes/1986/11/18,29,8,6
https://www.gocomics.com/calvinandhobbes/1986/11/19,11,5,1
https://www.gocomics.com/calvinandhobbes/1986/11/20,19,6,2
https://www.gocomics.com/calvinandhobbes/1986/11/21,17,8,4
https://www.gocomics.com/calvinandhobbes/1986/11/22,33,4,4
https://www.gocomics.com/calvinandhobbes/1986/11/23,65,12,8
https://www.gocomics.com/calvinandhobbes/1986/11/24,16,6,3
https://www.gocomics.com/calvinandhobbes/1986/11/25,50,9,7
https://www.gocomics.com/calvinandhobbes/1986/11/26,68,13,11
https://www.gocomics.com/calvinandhobbes/1986/11/27,26,4,3
https://www.gocomics.com/calvinandhobbes/1986/11/28,20,4,7
https://www.gocomics.com/calvinandhobbes/1986/11/29,9,5,1
https://www.gocomics.com/calvinandhobbes/1986/11/30,39,7,10
https://www.gocomics.com/calvinandhobbes/1986/12/01,21,8,5
https://www.gocomics.com/calvinandhobbes/1986/12/02,17,5,5
https://www.gocomics.com/calvinandhobbes/1986/12/03,14,8,2
https://www.gocomics.com/calvinandhobbes/1986/12/04,20,4,2
https://www.gocomics.com/calvinandhobbes/1986/12/05,13,4,2
https://www.gocomics.com/calvinandhobbes/1986/12/06,14,6,1
https://www.gocomics.com/calvinandhobbes/1986/12/07,38,9,7
https://www.gocomics.com/calvinandhobbes/1986/12/08,84,11,16
https://www.gocomics.com/calvinandhobbes/1986/12/09,59,10,6
https://www.gocomics.com/calvinandhobbes/1986/12/10,40,11,8
https://www.gocomics.com/calvinandhobbes/1986/12/11,49,9,11
https://www.gocomics.com/calvinandhobbes/1986/12/12,12,9,1
https://www.gocomics.com/calvinandhobbes/1986/12/13,16,10,1
https://www.gocomics.com/calvinandhobbes/1986/12/14,29,9,8
https://www.gocomics.com/calvinandhobbes/1986/12/15,17,6,1
https://www.gocomics.com/calvinandhobbes/1986/12/16,53,12,11
https://www.gocomics.com/calvinandhobbes/1986/12/17,23,10,4
https://www.gocomics.com/calvinandhobbes/1986/12/18,34,5,5
https://www.gocomics.com/calvinandhobbes/1986/12/19,15,4,3
https://www.gocomics.com/calvinandhobbes/1986/12/20,20,7,6
https://www.gocomics.com/calvinandhobbes/1986/12/21,42,7,7
https://www.gocomics.com/calvinandhobbes/1986/12/22,24,5,2
https://www.gocomics.com/calvinandhobbes/1986/12/23,26,3,6
https://www.gocomics.com/calvinandhobbes/1986/12/24,35,7,7
https://www.gocomics.com/calvinandhobbes/1986/12/25,37,4,3
https://www.gocomics.com/calvinandhobbes/1986/12/26,48,10,4
https://www.gocomics.com/calvinandhobbes/1986/12/27,24,7,5
https://www.gocomics.com/calvinandhobbes/1986/12/28,54,8,8
https://www.gocomics.com/calvinandhobbes/1986/12/29,18,3,6
https://www.gocomics.com/calvinandhobbes/1986/12/30,25,7,4
https://www.gocomics.com/calvinandhobbes/1986/12/31,21,7,3
https://www.gocomics.com/calvinandhobbes/1987/01/01,20,5,3
https://www.gocomics.com/calvinandhobbes/1987/01/02,15,4,1
https://www.gocomics.com/calvinandhobbes/1987/01/03,38,5,5
https://www.gocomics.com/calvinandhobbes/1987/01/04,53,9,8
https://www.gocomics.com/calvinandhobbes/1987/01/05,26,7,6
https://www.gocomics.com/calvinandhobbes/1987/01/06,15,5,3
https://www.gocomics.com/calvinandhobbes/1987/01/07,34,10,5
https://www.gocomics.com/calvinandhobbes/1987/01/08,22,12,3
https://www.gocomics.com/calvinandhobbes/1987/01/09,55,7,13
https://www.gocomics.com/calvinandhobbes/1987/01/10,15,9,2
https://www.gocomics.com/calvinandhobbes/1987/01/11,46,7,11
https://www.gocomics.com/calvinandhobbes/1987/01/12,30,6,1
https://www.gocomics.com/calvinandhobbes/1987/01/13,28,6,4
